project_id,period_end,PV,EV,AC,CPI,SPI,CV,SV,ml_risk
P018,2020-03-31 22:40:46.741562,2519.148936170213,1232.657534246575,27030.0,0.04560331240275897,0.48931506849315054,-25797.342465753423,-1286.4914019236378,0.7547263973565649
P018,2020-04-30 22:40:46.741562,,0.0,7650.0,0.0,,-7650.0,,0.55
P018,2020-05-31 22:40:46.741562,,0.0,1105.0,0.0,,-1105.0,,0.55
P018,2020-06-30 22:40:46.741562,953.6170212765958,0.0,12096.0,0.0,0.0,-12096.0,-953.6170212765958,1.0
P018,2020-07-31 22:40:46.741562,2832.1812869664363,0.0,,,0.0,,-2832.1812869664363,0.45
P018,2020-08-31 22:40:46.741562,,0.0,,,,,,0.0
P018,2020-09-30 22:40:46.741562,4287.500000000001,0.0,17447.0,0.0,0.0,-17447.0,-4287.500000000001,1.0
P018,2020-10-31 22:40:46.741562,,0.0,,,,,,0.0
P018,2020-11-30 22:40:46.741562,,0.0,14500.0,0.0,,-14500.0,,0.55
P018,2020-12-31 22:40:46.741562,,0.0,13911.0,0.0,,-13911.0,,0.55
P018,2021-01-31 22:40:46.741562,,0.0,49136.0,0.0,,-49136.0,,0.55
P018,2021-02-28 22:40:46.741562,,0.0,164871.0,0.0,,-164871.0,,0.55
P018,2021-03-31 22:40:46.741562,,0.0,11630.0,0.0,,-11630.0,,0.55
P018,2021-04-30 22:40:46.741562,,0.0,29372.0,0.0,,-29372.0,,0.55
P018,2021-05-31 22:40:46.741562,,0.0,6723.0,0.0,,-6723.0,,0.55
P018,2021-06-30 22:40:46.741562,,0.0,91849.0,0.0,,-91849.0,,0.55
P018,2021-07-31 22:40:46.741562,,0.0,45940.0,0.0,,-45940.0,,0.55
P018,2021-08-31 22:40:46.741562,,0.0,105958.0,0.0,,-105958.0,,0.55
P018,2021-09-30 22:40:46.741562,,0.0,307649.0,0.0,,-307649.0,,0.55
P018,2021-10-31 22:40:46.741562,,0.0,11724.0,0.0,,-11724.0,,0.55
P018,2021-11-30 22:40:46.741562,,0.0,2865.0,0.0,,-2865.0,,0.55
P018,2021-12-31 22:40:46.741562,,0.0,13280.0,0.0,,-13280.0,,0.55
P018,2022-01-31 22:40:46.741562,,0.0,37067.0,0.0,,-37067.0,,0.55
P018,2022-02-28 22:40:46.741562,,0.0,33677.0,0.0,,-33677.0,,0.55
P018,2022-03-31 22:40:46.741562,,0.0,17495.0,0.0,,-17495.0,,0.55
P018,2022-04-30 22:40:46.741562,,0.0,25121.0,0.0,,-25121.0,,0.55
P018,2022-05-31 22:40:46.741562,,0.0,139556.0,0.0,,-139556.0,,0.55
P018,2022-06-30 22:40:46.741562,,0.0,8135.0,0.0,,-8135.0,,0.55
P018,2022-07-31 22:40:46.741562,,0.0,39338.0,0.0,,-39338.0,,0.55
P018,2022-08-31 22:40:46.741562,,0.0,,,,,,0.0
P018,2022-09-30 22:40:46.741562,,0.0,84469.0,0.0,,-84469.0,,0.55
P018,2022-10-31 22:40:46.741562,,0.0,7800.0,0.0,,-7800.0,,0.55
P018,2022-11-30 22:40:46.741562,,0.0,59187.0,0.0,,-59187.0,,0.55
P018,2023-01-31 22:40:46.741562,,0.0,14798.0,0.0,,-14798.0,,0.55
P018,2023-02-28 22:40:46.741562,,0.0,4339.0,0.0,,-4339.0,,0.55
P018,2023-03-31 22:40:46.741562,,0.0,177.0,0.0,,-177.0,,0.55
P018,2023-04-30 22:40:46.741562,,0.0,2806.0,0.0,,-2806.0,,0.55
P018,2023-05-31 22:40:46.741562,,0.0,424.0,0.0,,-424.0,,0.55
P018,2023-06-30 22:40:46.741562,,3773.748333333333,2728.0,1.3833388318670576,,1045.748333333333,,0.0
P018,2023-07-31 22:40:46.741562,2400.69375,768.222,83151.0,0.00923887866652235,0.32,-82382.778,-1632.47175,0.8509186167334126
P018,2023-08-31 22:40:46.741562,1914.8000000000002,0.0,16884.0,0.0,0.0,-16884.0,-1914.8000000000002,1.0
P018,2023-09-30 22:40:46.741562,13030.0,7818.0,18189.0,0.4298202210127,0.6,-10371.0,-5212.0,0.4935988784430151
P018,2023-10-31 22:40:46.741562,,0.0,4559.0,0.0,,-4559.0,,0.55
P018,2023-11-30 22:40:46.741562,3475.0,0.0,8228.0,0.0,0.0,-8228.0,-3475.0,1.0
